team_name,avg_win_diff
Athletics,3.0
Boston Beaneaters,2.8333333333333335
Houston Colt 45's,2.6666666666666665
Cleveland Guardians,2.5
New York Highlanders,2.1
Boston Bees,1.8
Brooklyn Robins,1.6470588235294117
Brooklyn Dodgers,1.0714285714285714
Los Angeles Angels,0.9615384615384616
Florida Marlins,0.6842105263157895
New York Yankees,0.6339285714285714
California Angels,0.5806451612903226
Miami Marlins,0.5714285714285714
San Francisco Giants,0.5588235294117647
St. Louis Cardinals,0.46774193548387094
San Diego Padres,0.3508771929824561
Cincinnati Reds,0.3050847457627119
Brooklyn Superbas,0.2727272727272727
Cleveland Indians,0.27102803738317754
Baltimore Orioles,0.2702702702702703
Philadelphia Athletics,0.22641509433962265
Montreal Expos,0.19444444444444445
Cleveland Naps,0.18181818181818182
Detroit Tigers,0.14516129032258066
Seattle Mariners,0.10204081632653061
Atlanta Braves,0.1
Washington Senators,0.014285714285714285
Boston Americans,0.0
Cleveland Blues,0.0
Philadelphia Phillies,-0.04032258064516129
Boston Red Sox,-0.06779661016949153
Tampa Bay Rays,-0.1111111111111111
Anaheim Angels,-0.125
Oakland Athletics,-0.14035087719298245
Los Angeles Dodgers,-0.22058823529411764
Kansas City Royals,-0.22807017543859648
Pittsburgh Pirates,-0.27419354838709675
Texas Rangers,-0.2962962962962963
New York Giants,-0.32142857142857145
Chicago White Sox,-0.3225806451612903
Chicago Cubs,-0.4262295081967213
Minnesota Twins,-0.46153846153846156
Milwaukee Brewers,-0.49122807017543857
Kansas City Athletics,-0.5384615384615384
Milwaukee Braves,-0.6153846153846154
Houston Astros,-0.6229508196721312
St. Louis Browns,-0.7647058823529411
Boston Braves,-0.7714285714285715
Arizona Diamondbacks,-0.8214285714285714
Cleveland Bronchos,-1.0
Washington Nationals,-1.0
Seattle Pilots,-1.0
New York Mets,-1.09375
Toronto Blue Jays,-1.1020408163265305
Colorado Rockies,-1.1818181818181819
Boston Doves,-1.25
Tampa Bay Devil Rays,-1.3
Cincinnati Redlegs,-2.3333333333333335
Chicago Orphans,-5.0
Boston Rustlers,-6.0
